#"Bounced boundary ID","bounce index","total time (ps)"
2,0,2.158
1,1,3.776
1,2,4.134
1,3,4.776
1,4,5.012
1,5,5.206
1,6,5.468
1,7,5.832
1,8,8.074
1,9,8.560
1,10,8.664
1,11,8.760
1,12,8.926
1,13,9.032
1,14,9.150
1,15,9.306
1,16,10.534
1,17,11.778
1,18,12.520
2,19,13.624
2,20,14.812
2,21,15.616
2,22,17.508
2,23,17.612
2,24,17.730
2,25,17.886
2,26,18.006
2,27,18.112
2,28,18.222
2,29,18.288
2,30,18.502
2,31,18.738
2,32,18.962
2,33,19.192
2,34,20.394
2,35,21.136
2,36,23.102
2,37,24.520
2,38,24.882
1,39,26.084
1,40,27.460
2,41,29.460
2,42,29.662
2,43,29.826
2,44,29.982
2,45,30.134
2,46,30.784
1,47,31.716
2,48,32.538
2,49,32.838
2,50,33.808
1,51,34.158
2,52,35.984
1,53,38.964
1,54,40.652
1,55,41.688
1,56,42.444
1,57,44.116
1,58,45.228
1,59,45.708
1,60,46.240
1,61,46.316
1,62,46.346
1,63,46.362
1,64,46.408
1,65,46.418
1,66,46.430
1,67,46.466
1,68,46.498
1,69,46.538
1,70,46.550
1,71,46.572
1,72,46.614
1,73,46.628
1,74,46.672
1,75,46.718
1,76,47.382
1,77,47.792
1,78,48.236
1,79,48.924
1,80,49.360
1,81,49.902
2,82,51.652
2,83,53.004
1,84,54.812
2,85,58.130
2,86,59.774
2,87,60.088
2,88,61.310
2,89,61.690
2,90,62.040
2,91,62.960
2,92,63.690
2,93,66.382
2,94,66.738
2,95,67.092
2,96,67.756
2,97,67.934
2,98,68.550
2,99,69.104
2,100,69.414
2,101,69.790
2,102,70.036
2,103,70.200
2,104,70.346
2,105,70.498
2,106,71.334
2,107,72.300
2,108,72.738
2,109,73.194
2,110,73.504
2,111,73.660
1,112,77.726
2,113,78.256
1,114,79.266
2,115,79.574
1,116,80.750
1,117,80.952
1,118,81.266
1,119,81.610
1,120,87.012
1,121,87.720
1,122,87.988
1,123,88.574
1,124,89.454
1,125,90.448
2,126,93.524
1,127,94.458
2,128,95.336
2,129,96.726
2,130,97.734
1,131,99.844
2,132,101.508
2,133,102.402
2,134,103.898
2,135,104.248
1,136,104.978
1,137,105.976
2,138,108.362
1,139,108.652
2,140,108.990
2,141,111.016
2,142,111.822
2,143,112.062
2,144,112.170
2,145,112.298
2,146,112.390
2,147,112.500
1,148,113.196
1,149,114.902
1,150,116.220
2,151,117.454
2,152,117.854
1,153,118.374
2,154,119.262
2,155,123.348
2,156,124.014
1,157,124.704
1,158,126.406
2,159,129.182
2,160,132.224
2,161,133.040
1,162,136.110
1,163,136.274
1,164,136.480
1,165,136.670
2,166,138.070
2,167,138.482
2,168,138.934
2,169,139.780
2,170,140.304
2,171,141.480
1,172,143.260
1,173,143.884
1,174,144.764
2,175,151.508
2,176,152.310
2,177,152.990
2,178,153.972
2,179,154.500
2,180,155.032
2,181,155.988
2,182,156.724
2,183,157.372
2,184,157.722
2,185,158.270
2,186,158.802
1,187,159.448
2,188,159.814
2,189,160.890
1,190,161.200
2,191,161.390
1,192,161.542
2,193,161.720
1,194,162.384
1,195,166.008
1,196,166.306
1,197,166.636
1,198,167.746
1,199,168.292
1,200,169.012
1,201,169.520
1,202,170.018
2,203,171.502
2,204,171.690
2,205,171.724
2,206,171.902
2,207,172.062
2,208,172.214
2,209,174.452
2,210,175.090
2,211,175.794
2,212,176.958
2,213,179.026
2,214,180.192
2,215,181.128
1,216,183.042
2,217,185.594
2,218,186.116
2,219,186.848
2,220,187.468
2,221,188.450
2,222,189.038
2,223,189.596
2,224,190.236
2,225,190.948
1,226,191.566
1,227,192.588
1,228,193.690
1,229,194.336
2,230,195.124
1,231,197.222
1,232,197.674
2,233,199.418
1,234,200.004
2,235,200.966
1,236,201.420
2,237,201.914
1,238,202.788
1,239,205.734
1,240,206.252
1,241,206.582
1,242,207.824
1,243,208.068
1,244,208.842
1,245,209.278
2,246,212.028
1,247,212.914
2,248,213.264
1,249,213.734
2,250,215.036
2,251,216.180
2,252,216.442
2,253,216.832
2,254,216.996
2,255,217.664
2,256,220.404
2,257,221.116
2,258,221.738
2,259,222.414
2,260,222.960
2,261,223.424
2,262,227.116
1,263,229.030
2,264,232.096
1,265,233.672
1,266,234.250
1,267,234.576
1,268,234.924
1,269,235.284
1,270,235.708
1,271,235.986
1,272,236.574
1,273,236.648
1,274,236.736
1,275,236.816
1,276,236.902
1,277,236.970
1,278,237.010
1,279,237.026
1,280,237.042
1,281,237.066
1,282,237.088
1,283,237.112
1,284,237.152
1,285,237.168
1,286,237.180
1,287,237.210
1,288,237.280
1,289,237.378
1,290,237.484
1,291,237.554
1,292,237.622
1,293,237.702
1,294,238.094
1,295,238.310
1,296,238.592
1,297,238.772
1,298,239.612
2,299,240.662
1,300,241.950
2,301,242.216
1,302,242.476
1,303,243.156
1,304,243.758
1,305,245.208
1,306,246.226
1,307,246.316
1,308,246.458
1,309,246.612
1,310,246.800
