#"Bounced boundary ID","bounce index","total time (ps)"
1,0,0.376
1,1,1.120
1,2,1.308
1,3,1.492
1,4,2.276
1,5,3.564
2,6,4.140
2,7,4.650
1,8,5.524
2,9,5.944
1,10,6.634
1,11,10.482
1,12,10.940
1,13,11.452
1,14,13.102
2,15,16.110
2,16,17.066
2,17,18.730
2,18,19.250
2,19,26.738
2,20,28.038
2,21,30.080
2,22,31.496
2,23,31.704
2,24,32.102
2,25,32.776
2,26,33.116
2,27,33.390
2,28,33.668
2,29,34.170
2,30,34.866
2,31,35.118
2,32,35.396
2,33,35.604
2,34,35.922
2,35,36.150
2,36,36.412
2,37,36.774
2,38,37.078
2,39,37.510
2,40,37.932
2,41,38.312
2,42,38.674
2,43,39.708
2,44,40.166
2,45,40.874
2,46,41.060
2,47,41.162
2,48,41.230
2,49,41.288
2,50,41.360
2,51,41.414
2,52,41.462
2,53,41.496
2,54,41.536
2,55,41.596
2,56,41.650
2,57,41.736
2,58,41.804
2,59,41.886
2,60,41.932
2,61,41.980
2,62,42.046
2,63,42.100
2,64,42.146
2,65,42.202
2,66,42.250
2,67,42.310
2,68,42.358
2,69,42.390
2,70,42.430
2,71,42.460
2,72,42.474
2,73,42.484
2,74,42.492
2,75,42.500
2,76,42.508
2,77,42.528
2,78,42.552
2,79,42.596
2,80,42.636
2,81,42.698
2,82,42.756
2,83,42.844
1,84,43.698
2,85,45.134
2,86,46.678
1,87,47.558
1,88,50.434
1,89,50.506
1,90,50.780
1,91,50.888
1,92,50.934
1,93,51.010
1,94,51.100
1,95,51.152
1,96,51.182
1,97,51.250
1,98,51.368
1,99,51.526
1,100,51.698
1,101,51.832
1,102,51.914
1,103,51.990
1,104,52.060
1,105,52.122
1,106,52.198
1,107,52.276
1,108,52.362
1,109,52.452
1,110,52.554
1,111,52.624
1,112,52.686
1,113,52.738
1,114,52.856
1,115,52.994
1,116,53.190
1,117,53.388
1,118,53.520
1,119,53.602
1,120,53.882
1,121,54.060
1,122,54.334
1,123,54.756
1,124,55.088
1,125,55.310
1,126,55.596
1,127,55.822
1,128,56.060
1,129,56.146
1,130,56.244
1,131,56.826
1,132,57.382
2,133,59.462
2,134,60.382
2,135,61.336
2,136,62.104
1,137,65.260
1,138,65.870
1,139,67.590
1,140,67.848
1,141,68.726
2,142,69.106
1,143,69.504
2,144,70.850
1,145,72.354
1,146,72.516
1,147,72.884
1,148,73.342
1,149,73.878
1,150,74.636
1,151,74.906
2,152,76.630
2,153,76.974
2,154,77.332
2,155,77.664
2,156,77.964
2,157,78.196
2,158,78.454
2,159,79.864
1,160,81.990
2,161,83.010
2,162,84.562
2,163,86.936
2,164,88.976
2,165,89.252
2,166,89.576
2,167,89.640
2,168,89.818
2,169,90.630
2,170,91.276
1,171,91.660
2,172,91.952
1,173,93.244
2,174,98.158
2,175,99.732
2,176,101.026
2,177,102.134
1,178,103.412
1,179,103.570
2,180,103.910
2,181,106.894
2,182,109.516
1,183,110.132
2,184,110.760
2,185,111.406
2,186,114.052
2,187,118.310
2,188,118.834
2,189,119.264
2,190,120.590
2,191,122.234
2,192,124.298
2,193,125.076
2,194,125.614
2,195,126.334
2,196,126.484
2,197,126.592
2,198,126.914
2,199,127.062
2,200,127.212
2,201,127.950
2,202,128.268
2,203,128.508
2,204,128.790
2,205,129.002
2,206,129.212
2,207,129.456
2,208,129.664
2,209,129.926
2,210,130.192
2,211,130.498
2,212,130.794
2,213,131.280
2,214,131.710
2,215,132.126
2,216,132.660
2,217,132.854
2,218,133.212
2,219,134.222
2,220,134.556
2,221,135.338
2,222,136.472
2,223,137.164
2,224,137.632
2,225,138.198
2,226,138.354
2,227,138.510
2,228,138.630
2,229,138.776
2,230,138.896
2,231,139.038
2,232,139.152
2,233,139.280
2,234,139.386
2,235,139.504
2,236,139.606
2,237,139.730
2,238,139.856
2,239,139.992
2,240,140.142
2,241,140.250
2,242,140.370
2,243,140.490
2,244,140.648
2,245,140.880
2,246,141.130
2,247,141.274
2,248,141.412
2,249,142.014
2,250,142.162
2,251,142.264
2,252,142.420
2,253,142.646
2,254,142.880
2,255,143.050
2,256,143.258
2,257,144.364
2,258,147.598
2,259,148.290
1,260,149.290
2,261,150.016
1,262,150.266
2,263,150.498
1,264,150.770
2,265,151.144
2,266,152.508
2,267,154.168
1,268,154.654
1,269,156.200
1,270,156.318
2,271,159.422
2,272,160.208
2,273,160.520
2,274,160.832
2,275,161.044
2,276,161.758
2,277,162.266
1,278,164.180
2,279,165.062
1,280,166.316
1,281,167.036
1,282,167.460
1,283,168.452
2,284,170.188
1,285,171.192
1,286,172.888
2,287,173.858
2,288,173.938
2,289,173.998
2,290,174.044
2,291,174.104
2,292,174.198
2,293,174.262
2,294,176.154
2,295,180.654
2,296,183.340
2,297,190.412
2,298,191.612
1,299,194.634
1,300,196.164
1,301,197.082
1,302,200.546
1,303,200.942
1,304,201.408
1,305,202.388
1,306,202.614
2,307,204.344
2,308,204.908
2,309,205.522
2,310,206.036
2,311,207.126
2,312,210.852
2,313,212.344
2,314,212.756
1,315,215.094
2,316,218.348
2,317,218.850
2,318,219.844
2,319,220.100
2,320,221.724
2,321,222.096
2,322,222.430
2,323,222.778
2,324,223.686
2,325,226.466
2,326,226.844
2,327,227.822
2,328,228.310
2,329,228.848
2,330,229.276
1,331,233.456
2,332,234.320
2,333,235.480
1,334,239.216
1,335,239.590
1,336,239.714
1,337,239.854
1,338,239.988
1,339,240.098
1,340,240.194
1,341,240.336
1,342,240.484
1,343,240.822
1,344,241.454
1,345,242.220
2,346,243.630
2,347,245.474
2,348,246.216
1,349,250.682
1,350,252.042
1,351,252.184
1,352,252.336
2,353,253.404
2,354,254.110
2,355,254.528
2,356,255.754
2,357,256.340
1,358,260.976
1,359,263.506
1,360,263.908
1,361,264.500
1,362,264.892
1,363,265.126
1,364,265.590
1,365,266.300
1,366,266.766
1,367,267.430
1,368,268.112
2,369,268.452
1,370,268.708
2,371,269.102
1,372,270.162
1,373,270.396
1,374,270.718
1,375,271.102
1,376,272.640
1,377,274.118
1,378,275.926
2,379,276.542
2,380,277.606
2,381,278.478
2,382,278.898
2,383,279.118
2,384,279.282
2,385,279.782
2,386,281.012
2,387,281.556
2,388,281.656
2,389,282.622
2,390,283.404
1,391,283.700
