#"Bounced boundary ID","bounce index","total time (ps)"
2,0,1.238
2,1,1.800
2,2,2.740
2,3,4.150
2,4,4.766
2,5,5.302
2,6,6.452
1,7,7.730
1,8,8.064
1,9,8.966
1,10,9.998
1,11,10.886
1,12,12.720
1,13,13.690
1,14,14.306
1,15,15.102
1,16,15.154
1,17,15.202
1,18,15.208
1,19,15.294
1,20,18.992
1,21,19.480
1,22,19.766
1,23,20.090
1,24,22.532
1,25,28.114
1,26,32.094
1,27,32.418
1,28,32.860
1,29,34.012
1,30,34.668
1,31,35.508
1,32,35.644
1,33,35.656
1,34,35.658
1,35,38.644
1,36,39.290
1,37,39.784
1,38,41.418
1,39,41.816
1,40,45.100
1,41,46.742
2,42,50.470
2,43,51.958
2,44,52.526
2,45,54.668
2,46,55.772
2,47,56.062
1,48,58.638
2,49,60.770
2,50,61.356
1,51,63.092
2,52,63.912
2,53,64.028
2,54,64.540
2,55,64.824
2,56,64.916
2,57,65.048
2,58,65.188
2,59,65.306
2,60,65.480
2,61,65.578
2,62,65.766
2,63,66.056
2,64,66.318
2,65,67.428
2,66,67.694
1,67,70.120
1,68,71.502
1,69,72.476
1,70,73.634
2,71,78.614
2,72,79.624
2,73,80.408
2,74,80.636
2,75,80.774
2,76,80.926
2,77,81.080
2,78,81.252
2,79,81.414
2,80,81.518
2,81,81.736
2,82,81.980
2,83,82.360
2,84,82.660
2,85,83.152
2,86,83.596
2,87,84.002
2,88,84.222
2,89,84.360
2,90,84.524
2,91,84.698
2,92,84.834
2,93,84.976
2,94,85.116
2,95,85.492
2,96,85.732
2,97,86.034
2,98,86.284
2,99,86.476
2,100,86.626
2,101,86.760
1,102,88.074
1,103,92.174
1,104,92.494
1,105,94.374
1,106,94.982
1,107,95.614
1,108,96.318
1,109,97.830
2,110,101.820
1,111,102.762
1,112,104.402
1,113,104.486
1,114,104.554
1,115,104.690
1,116,104.830
1,117,105.164
1,118,105.368
1,119,105.612
1,120,105.814
1,121,106.076
1,122,106.318
1,123,106.542
1,124,106.562
1,125,106.640
1,126,106.732
1,127,106.778
1,128,106.788
1,129,106.808
1,130,106.824
1,131,106.858
1,132,107.020
1,133,107.270
1,134,107.672
1,135,108.146
1,136,108.512
1,137,109.000
1,138,109.204
1,139,109.376
1,140,109.624
1,141,110.140
1,142,110.476
1,143,110.598
1,144,110.704
1,145,111.166
1,146,111.678
1,147,112.106
1,148,112.246
1,149,112.544
1,150,112.808
1,151,113.012
1,152,113.278
1,153,113.510
1,154,115.540
2,155,118.664
2,156,118.900
2,157,119.852
2,158,120.270
2,159,120.516
2,160,120.784
2,161,121.440
2,162,121.928
2,163,123.960
2,164,124.642
2,165,125.106
2,166,125.928
2,167,126.068
2,168,126.260
2,169,126.476
2,170,126.950
2,171,127.456
2,172,128.314
2,173,128.326
2,174,130.648
2,175,130.864
2,176,131.994
2,177,132.674
1,178,134.200
2,179,140.162
2,180,141.656
2,181,141.922
2,182,142.770
2,183,144.224
1,184,146.974
1,185,151.204
1,186,156.708
2,187,159.066
1,188,160.126
1,189,160.916
1,190,161.834
2,191,166.452
2,192,167.240
1,193,168.720
2,194,170.844
1,195,172.598
2,196,173.250
2,197,175.262
1,198,176.800
1,199,177.712
1,200,178.076
1,201,179.698
1,202,180.594
2,203,184.620
2,204,184.758
2,205,184.870
2,206,185.126
2,207,185.320
2,208,185.494
2,209,185.692
2,210,187.616
2,211,188.294
2,212,191.132
2,213,192.308
2,214,192.772
1,215,194.190
2,216,196.214
2,217,199.806
2,218,201.076
2,219,201.766
1,220,203.680
1,221,206.464
1,222,207.066
1,223,207.750
1,224,207.850
1,225,207.916
1,226,207.976
1,227,208.048
1,228,208.166
1,229,208.314
1,230,208.414
1,231,208.498
1,232,208.558
1,233,211.790
1,234,214.894
1,235,215.166
1,236,215.774
1,237,216.002
1,238,216.388
1,239,216.812
1,240,217.070
1,241,217.398
1,242,217.690
1,243,217.922
1,244,218.212
1,245,218.520
1,246,218.866
1,247,219.128
1,248,219.286
1,249,219.500
1,250,219.664
1,251,220.044
1,252,220.882
1,253,221.600
1,254,224.522
