#"Bounced boundary ID","bounce index","total time (ps)"
1,0,32500.288
1,1,32502.586
1,2,32505.456
1,3,32505.948
1,4,32506.486
1,5,32507.628
1,6,32510.232
1,7,32510.684
1,8,32512.630
1,9,32512.942
1,10,32514.608
1,11,32516.468
1,12,32516.790
1,13,32517.286
1,14,32518.104
1,15,32518.696
1,16,32519.248
1,17,32519.910
1,18,32520.540
1,19,32520.638
1,20,32520.708
1,21,32521.128
1,22,32521.470
1,23,32521.864
1,24,32522.382
1,25,32523.396
1,26,32523.944
1,27,32524.800
1,28,32527.010
1,29,32528.972
1,30,32529.048
1,31,32529.402
1,32,32530.038
1,33,32530.316
2,34,32531.946
2,35,32532.116
2,36,32532.414
2,37,32532.922
2,38,32533.422
2,39,32534.400
2,40,32534.704
2,41,32535.040
2,42,32537.450
2,43,32538.168
2,44,32540.984
1,45,32541.518
1,46,32544.952
2,47,32545.406
2,48,32547.222
2,49,32550.398
2,50,32551.354
1,51,32552.880
1,52,32555.734
1,53,32556.976
1,54,32557.704
1,55,32558.400
1,56,32559.098
2,57,32562.220
1,58,32562.786
1,59,32564.130
2,60,32565.956
1,61,32566.602
1,62,32568.930
1,63,32569.060
1,64,32569.180
1,65,32569.508
1,66,32571.236
1,67,32573.158
1,68,32575.720
1,69,32576.556
1,70,32576.998
1,71,32577.540
1,72,32578.024
1,73,32578.430
1,74,32579.612
1,75,32580.908
1,76,32581.448
1,77,32582.724
2,78,32584.646
2,79,32584.966
1,80,32588.472
1,81,32589.634
1,82,32591.588
1,83,32592.244
1,84,32592.814
1,85,32594.040
1,86,32594.746
1,87,32595.692
2,88,32596.584
1,89,32597.868
1,90,32599.342
1,91,32600.214
1,92,32600.314
1,93,32600.464
1,94,32600.588
1,95,32600.654
1,96,32600.890
2,97,32602.042
1,98,32602.794
1,99,32602.996
1,100,32603.226
1,101,32603.452
1,102,32604.352
1,103,32606.316
1,104,32608.690
1,105,32610.402
2,106,32611.508
2,107,32611.762
1,108,32614.274
1,109,32614.658
1,110,32615.160
1,111,32615.286
1,112,32615.426
1,113,32615.560
1,114,32615.698
1,115,32616.460
1,116,32617.144
1,117,32618.024
1,118,32618.602
1,119,32619.312
1,120,32619.882
1,121,32620.288
1,122,32621.538
1,123,32621.706
1,124,32622.442
1,125,32622.826
1,126,32623.244
1,127,32623.552
1,128,32623.796
1,129,32624.124
1,130,32624.456
1,131,32624.764
1,132,32625.032
1,133,32625.298
1,134,32625.484
1,135,32625.576
1,136,32625.796
1,137,32625.884
1,138,32626.142
1,139,32626.442
1,140,32626.676
1,141,32626.892
1,142,32627.082
1,143,32627.286
1,144,32627.534
1,145,32627.890
1,146,32628.408
1,147,32628.904
1,148,32629.240
1,149,32629.680
1,150,32630.096
1,151,32630.958
1,152,32631.576
1,153,32632.150
1,154,32634.524
1,155,32638.524
1,156,32638.726
1,157,32638.958
1,158,32639.056
1,159,32639.120
1,160,32639.156
1,161,32639.182
1,162,32639.196
1,163,32639.202
1,164,32639.222
1,165,32639.278
1,166,32639.434
1,167,32639.604
1,168,32639.782
1,169,32639.990
1,170,32640.146
1,171,32640.260
1,172,32640.532
1,173,32640.742
1,174,32641.158
1,175,32641.634
1,176,32642.044
1,177,32642.534
1,178,32644.318
1,179,32646.146
2,180,32646.858
1,181,32647.646
1,182,32650.648
2,183,32653.888
1,184,32655.566
1,185,32657.080
1,186,32661.622
2,187,32663.578
2,188,32664.162
1,189,32667.146
1,190,32668.388
1,191,32669.102
1,192,32669.900
