#"Bounced boundary ID","bounce index","total time (ps)"
1,0,2.192
1,1,3.566
1,2,4.694
1,3,7.388
2,4,9.536
1,5,10.998
1,6,12.048
1,7,12.546
1,8,14.518
2,9,17.866
1,10,20.280
2,11,21.162
1,12,21.590
2,13,23.476
2,14,28.400
1,15,30.500
2,16,31.230
2,17,32.916
2,18,33.350
2,19,34.806
2,20,36.222
1,21,38.284
1,22,40.966
1,23,42.504
1,24,42.600
2,25,43.954
2,26,45.482
1,27,46.458
2,28,47.006
2,29,48.348
1,30,51.078
1,31,52.868
1,32,55.328
2,33,56.660
2,34,59.078
1,35,60.868
1,36,61.434
1,37,63.370
2,38,66.002
1,39,66.856
1,40,71.018
1,41,74.106
2,42,76.378
2,43,77.388
2,44,78.166
2,45,78.918
2,46,79.372
2,47,79.616
2,48,80.502
1,49,81.824
1,50,82.910
1,51,83.372
1,52,84.128
1,53,84.192
1,54,84.364
1,55,84.562
1,56,84.726
1,57,84.874
1,58,86.090
1,59,86.708
1,60,87.714
1,61,88.526
1,62,88.852
1,63,89.138
1,64,89.422
1,65,89.748
1,66,90.004
1,67,91.604
1,68,92.194
1,69,93.346
1,70,93.872
1,71,96.010
2,72,98.522
2,73,99.290
1,74,100.502
1,75,100.832
1,76,101.334
1,77,101.698
1,78,103.514
1,79,104.440
1,80,108.564
1,81,112.520
1,82,113.076
1,83,114.370
1,84,114.864
1,85,116.490
2,86,117.020
2,87,118.420
2,88,120.880
1,89,126.136
2,90,129.884
2,91,132.224
2,92,132.992
2,93,134.428
2,94,135.130
2,95,136.408
2,96,137.272
1,97,139.938
2,98,142.246
1,99,143.352
1,100,145.762
2,101,146.626
2,102,147.796
2,103,151.104
1,104,154.472
1,105,155.652
1,106,156.352
1,107,159.486
1,108,161.292
1,109,162.898
2,110,164.512
2,111,164.906
2,112,165.436
2,113,166.700
2,114,169.432
2,115,169.910
2,116,170.034
2,117,170.206
2,118,170.346
2,119,170.438
2,120,170.518
2,121,170.648
2,122,170.778
2,123,171.658
2,124,172.570
2,125,173.394
2,126,174.186
2,127,174.800
2,128,174.976
2,129,175.148
2,130,175.326
2,131,175.816
2,132,175.854
2,133,175.896
2,134,176.136
2,135,176.380
2,136,176.668
2,137,176.920
2,138,177.104
2,139,177.342
2,140,177.560
2,141,177.774
2,142,178.132
2,143,178.382
2,144,178.576
2,145,178.920
2,146,179.178
2,147,179.322
2,148,179.488
2,149,179.674
2,150,179.918
2,151,180.514
2,152,180.798
2,153,181.096
2,154,181.408
2,155,181.662
2,156,182.566
2,157,183.392
2,158,184.462
1,159,187.032
1,160,192.464
2,161,193.198
1,162,193.646
1,163,194.654
2,164,197.028
2,165,201.928
2,166,202.266
2,167,202.810
1,168,203.676
2,169,204.466
1,170,206.552
1,171,208.336
1,172,217.728
1,173,219.886
1,174,220.874
1,175,222.004
1,176,222.628
1,177,223.164
1,178,223.606
1,179,223.890
1,180,224.090
1,181,224.276
1,182,224.364
1,183,227.174
1,184,231.366
1,185,232.722
2,186,235.524
1,187,236.550
1,188,239.002
1,189,239.800
1,190,242.280
1,191,245.096
2,192,251.524
2,193,253.546
2,194,253.886
2,195,254.256
2,196,254.654
2,197,255.186
2,198,255.482
2,199,255.754
2,200,256.090
2,201,256.374
2,202,256.802
2,203,257.238
2,204,257.544
2,205,257.766
2,206,257.946
2,207,258.106
2,208,258.258
2,209,258.522
2,210,259.022
2,211,259.142
2,212,259.498
2,213,259.724
2,214,259.964
2,215,260.530
2,216,261.016
2,217,261.432
2,218,261.670
2,219,261.948
2,220,262.150
2,221,262.884
2,222,263.450
2,223,264.670
2,224,265.254
2,225,265.790
2,226,266.376
2,227,266.866
2,228,268.098
2,229,269.184
2,230,269.898
2,231,270.606
2,232,271.574
2,233,274.152
2,234,274.284
2,235,276.108
2,236,276.538
2,237,277.600
2,238,278.316
2,239,280.388
2,240,281.180
2,241,282.052
2,242,283.046
2,243,283.762
2,244,284.344
1,245,285.836
1,246,286.488
1,247,287.072
1,248,287.738
1,249,290.136
1,250,292.354
1,251,292.974
2,252,295.094
2,253,300.596
1,254,305.222
1,255,305.574
1,256,307.974
1,257,308.400
1,258,308.996
1,259,309.450
1,260,310.640
2,261,311.380
2,262,311.758
2,263,313.272
2,264,314.966
2,265,315.408
2,266,315.492
2,267,315.576
2,268,315.676
2,269,315.756
2,270,315.806
2,271,315.988
2,272,316.150
2,273,316.256
2,274,316.394
2,275,316.458
2,276,316.558
2,277,316.674
2,278,316.828
2,279,316.956
2,280,317.034
2,281,317.132
2,282,317.204
2,283,317.276
2,284,317.354
2,285,317.444
2,286,317.558
2,287,317.698
2,288,317.832
2,289,317.964
2,290,318.056
2,291,320.802
2,292,321.398
2,293,323.002
2,294,323.762
1,295,325.482
1,296,326.712
