#"Bounced boundary ID","bounce index","total time (ps)"
1,0,0.212
2,1,5.238
1,2,8.422
1,3,9.726
1,4,10.972
1,5,11.472
2,6,14.556
2,7,16.920
2,8,17.360
2,9,17.792
2,10,18.246
2,11,19.120
2,12,19.434
2,13,22.666
2,14,22.960
2,15,24.942
2,16,26.044
1,17,26.556
1,18,28.652
2,19,30.026
2,20,31.474
2,21,32.448
2,22,33.078
2,23,33.590
2,24,34.324
2,25,35.078
2,26,35.818
2,27,36.892
2,28,37.192
2,29,37.716
2,30,39.238
2,31,40.478
2,32,40.794
2,33,41.056
2,34,42.082
2,35,42.182
2,36,42.490
2,37,42.960
2,38,43.182
2,39,43.480
2,40,43.898
2,41,44.302
2,42,44.590
2,43,45.192
2,44,45.712
2,45,46.034
2,46,46.326
1,47,47.788
2,48,48.508
2,49,51.818
2,50,52.248
2,51,53.094
2,52,53.958
2,53,54.958
2,54,55.352
2,55,55.576
2,56,55.974
2,57,56.460
2,58,57.486
2,59,57.854
2,60,58.586
2,61,58.818
2,62,59.024
2,63,59.530
2,64,59.688
2,65,59.872
2,66,59.992
2,67,60.122
2,68,60.240
2,69,60.302
2,70,60.400
2,71,60.530
2,72,60.642
2,73,60.758
2,74,61.024
2,75,61.786
2,76,62.770
2,77,63.122
2,78,63.638
2,79,63.930
2,80,64.192
2,81,64.454
2,82,64.794
2,83,65.150
2,84,65.612
2,85,66.036
2,86,66.396
2,87,66.642
2,88,66.922
2,89,67.034
2,90,67.178
2,91,67.286
2,92,67.322
2,93,67.378
2,94,67.398
2,95,67.466
2,96,67.524
2,97,67.540
2,98,67.546
2,99,67.672
2,100,67.758
2,101,67.842
2,102,67.920
2,103,68.004
2,104,68.220
2,105,68.432
2,106,68.596
2,107,68.716
2,108,68.850
2,109,68.948
2,110,69.080
2,111,69.240
2,112,69.390
2,113,69.748
2,114,70.144
2,115,70.552
2,116,70.988
2,117,71.444
2,118,71.798
2,119,72.298
2,120,72.934
2,121,73.280
2,122,73.506
2,123,73.678
