#"Bounced boundary ID","bounce index","total time (ps)"
2,0,0.396
2,1,0.740
1,2,2.172
2,3,3.282
1,4,4.916
1,5,5.346
1,6,5.730
1,7,6.008
1,8,6.344
1,9,6.736
1,10,7.056
1,11,8.316
2,12,9.756
1,13,10.340
2,14,12.766
1,15,13.384
2,16,14.614
1,17,15.162
1,18,15.292
1,19,15.882
1,20,16.786
1,21,17.406
2,22,17.932
2,23,18.882
2,24,19.162
2,25,19.526
2,26,20.276
2,27,21.024
2,28,21.426
2,29,21.844
1,30,23.396
1,31,24.528
1,32,26.104
1,33,26.594
1,34,27.688
1,35,28.512
1,36,29.684
1,37,30.080
1,38,30.566
1,39,30.908
1,40,31.484
1,41,31.954
1,42,32.278
1,43,32.622
1,44,32.888
1,45,33.194
2,46,34.598
1,47,35.174
2,48,35.598
2,49,36.342
1,50,38.762
1,51,39.842
1,52,42.312
1,53,43.192
2,54,43.500
1,55,44.006
1,56,44.924
1,57,45.870
1,58,46.754
1,59,48.076
1,60,48.522
1,61,50.046
1,62,50.436
2,63,50.744
1,64,51.008
1,65,51.994
2,66,52.318
1,67,53.492
1,68,54.506
1,69,54.782
1,70,55.040
1,71,55.626
1,72,56.278
1,73,56.828
1,74,57.924
1,75,59.942
1,76,60.482
1,77,60.998
1,78,61.606
2,79,63.424
2,80,63.786
2,81,64.134
2,82,64.374
2,83,64.572
2,84,64.798
2,85,64.996
2,86,65.304
2,87,65.518
2,88,65.708
2,89,65.956
1,90,68.340
1,91,69.148
1,92,69.246
1,93,69.390
1,94,69.690
1,95,70.188
2,96,71.502
2,97,72.626
2,98,73.298
2,99,73.594
2,100,75.604
1,101,76.318
2,102,77.044
1,103,78.482
2,104,80.144
2,105,81.420
2,106,82.554
2,107,82.996
2,108,83.696
2,109,84.184
2,110,84.634
2,111,85.012
2,112,85.382
2,113,86.042
2,114,86.376
2,115,86.680
2,116,86.834
2,117,86.980
2,118,87.122
2,119,87.388
2,120,87.640
2,121,87.992
2,122,88.428
2,123,88.840
2,124,89.370
2,125,90.184
2,126,90.784
2,127,91.044
2,128,91.434
2,129,91.910
2,130,93.014
2,131,93.712
2,132,94.296
2,133,94.460
2,134,94.584
2,135,94.928
2,136,95.556
2,137,99.604
2,138,101.042
1,139,101.708
2,140,103.216
2,141,103.722
2,142,104.282
2,143,104.964
2,144,105.120
2,145,105.268
2,146,105.412
2,147,105.616
2,148,105.830
2,149,105.998
2,150,106.134
2,151,106.764
2,152,107.172
2,153,107.858
2,154,109.814
2,155,110.138
2,156,110.550
2,157,111.668
2,158,112.260
1,159,113.716
2,160,114.888
2,161,115.616
2,162,116.022
2,163,116.672
2,164,117.020
1,165,117.882
2,166,119.238
2,167,119.672
2,168,120.268
2,169,120.600
2,170,121.324
2,171,121.514
2,172,122.096
2,173,122.532
2,174,122.924
2,175,123.294
2,176,123.634
2,177,123.922
2,178,124.014
2,179,124.174
2,180,124.318
2,181,125.264
2,182,126.104
2,183,126.262
2,184,126.728
2,185,127.032
2,186,127.206
1,187,128.166
2,188,128.802
2,189,130.524
2,190,132.092
2,191,132.614
2,192,132.926
2,193,134.140
1,194,134.498
2,195,134.780
1,196,136.490
1,197,138.032
1,198,138.620
1,199,139.346
2,200,139.962
2,201,141.376
2,202,142.460
1,203,143.454
1,204,144.834
2,205,145.658
1,206,146.050
1,207,146.848
2,208,147.080
1,209,147.388
1,210,148.512
2,211,151.220
2,212,152.044
1,213,152.926
2,214,153.952
2,215,154.988
2,216,155.968
1,217,160.912
1,218,161.850
1,219,162.222
1,220,162.584
1,221,162.816
1,222,163.050
1,223,163.280
1,224,163.550
1,225,163.802
1,226,164.074
1,227,164.360
1,228,164.552
1,229,164.756
1,230,165.086
1,231,166.066
1,232,166.404
1,233,166.888
1,234,166.996
1,235,167.086
1,236,167.228
1,237,167.426
2,238,168.210
1,239,168.604
1,240,169.504
2,241,170.344
1,242,172.220
2,243,172.478
1,244,172.738
2,245,173.026
1,246,173.656
1,247,174.950
1,248,175.614
1,249,176.310
1,250,177.256
2,251,179.026
2,252,179.320
2,253,179.786
2,254,180.012
2,255,180.216
2,256,180.564
2,257,181.560
2,258,181.994
2,259,182.068
2,260,182.118
2,261,182.930
2,262,185.160
1,263,186.148
2,264,187.560
2,265,189.700
2,266,190.594
1,267,191.734
1,268,192.690
1,269,193.102
1,270,193.540
1,271,193.574
1,272,193.604
1,273,195.048
1,274,195.728
2,275,196.604
2,276,197.910
2,277,199.100
2,278,199.948
2,279,200.492
2,280,201.696
2,281,202.464
2,282,203.344
2,283,204.032
2,284,204.746
2,285,205.192
2,286,205.774
2,287,206.478
2,288,207.420
2,289,207.866
2,290,208.390
2,291,208.770
1,292,209.798
2,293,212.734
2,294,213.222
2,295,214.102
1,296,216.558
2,297,217.688
2,298,219.814
1,299,220.418
1,300,220.768
1,301,221.226
1,302,221.634
1,303,222.230
1,304,222.702
1,305,222.898
1,306,223.058
1,307,223.340
1,308,223.566
2,309,224.830
2,310,224.958
2,311,225.118
2,312,225.424
2,313,225.786
2,314,226.294
1,315,227.206
2,316,232.090
2,317,233.090
2,318,233.362
2,319,233.656
2,320,233.906
2,321,234.638
2,322,235.466
2,323,237.912
2,324,238.980
2,325,239.278
2,326,239.960
2,327,240.628
1,328,241.298
2,329,241.652
2,330,242.300
2,331,244.206
2,332,245.306
2,333,246.004
2,334,246.786
2,335,248.092
2,336,249.296
2,337,249.722
1,338,252.932
2,339,253.508
2,340,254.780
2,341,255.692
2,342,258.268
2,343,258.778
2,344,259.202
2,345,260.078
2,346,260.960
2,347,261.396
1,348,263.108
1,349,265.028
1,350,265.976
2,351,266.718
2,352,267.728
1,353,269.072
1,354,269.722
2,355,270.302
1,356,271.130
2,357,272.396
2,358,272.678
2,359,274.260
2,360,275.256
2,361,275.668
2,362,276.074
2,363,276.400
2,364,276.878
2,365,277.740
2,366,278.868
2,367,280.374
2,368,281.476
1,369,282.388
2,370,284.992
1,371,287.554
2,372,288.620
2,373,288.694
2,374,288.762
2,375,289.004
2,376,289.138
2,377,289.570
2,378,289.664
2,379,289.802
2,380,289.948
2,381,290.098
2,382,290.244
2,383,290.344
2,384,290.584
2,385,291.454
2,386,293.022
1,387,294.840
1,388,295.122
1,389,295.402
1,390,296.398
1,391,297.018
2,392,297.964
2,393,298.474
2,394,300.268
2,395,301.040
2,396,302.484
2,397,303.066
2,398,304.562
1,399,306.192
1,400,306.304
1,401,306.416
1,402,306.464
1,403,306.530
1,404,306.590
1,405,306.642
1,406,306.708
1,407,306.772
1,408,306.846
1,409,306.952
1,410,307.020
1,411,307.064
1,412,307.116
1,413,307.154
1,414,307.196
1,415,307.248
1,416,307.308
1,417,307.378
1,418,307.446
1,419,307.552
1,420,307.674
1,421,307.768
1,422,307.870
1,423,308.002
1,424,308.122
1,425,308.244
1,426,308.360
1,427,308.482
1,428,308.630
1,429,308.756
1,430,308.882
1,431,308.994
1,432,309.124
1,433,309.272
1,434,309.394
1,435,310.050
2,436,310.940
1,437,311.300
2,438,311.654
2,439,312.288
2,440,312.614
2,441,312.948
2,442,313.300
2,443,313.396
2,444,313.414
2,445,313.706
2,446,314.026
2,447,314.258
2,448,314.974
2,449,315.524
2,450,315.732
2,451,315.950
2,452,316.196
2,453,316.380
2,454,316.626
2,455,316.828
2,456,317.074
2,457,317.708
2,458,318.580
1,459,318.820
2,460,319.140
2,461,319.698
2,462,320.206
2,463,320.594
2,464,321.172
2,465,321.560
2,466,321.912
2,467,322.718
2,468,323.060
2,469,323.146
2,470,323.362
2,471,323.474
2,472,323.524
2,473,323.610
2,474,323.652
2,475,323.884
2,476,324.736
2,477,325.110
2,478,325.992
2,479,326.622
2,480,329.020
1,481,330.240
2,482,331.322
2,483,331.460
2,484,331.802
2,485,332.110
2,486,332.936
1,487,334.308
2,488,334.788
1,489,335.066
2,490,335.444
2,491,337.230
2,492,338.558
2,493,339.856
2,494,340.180
2,495,340.354
2,496,342.458
2,497,342.744
1,498,344.636
1,499,345.178
1,500,345.416
1,501,345.796
1,502,346.222
2,503,346.910
2,504,351.034
1,505,353.574
2,506,354.002
2,507,355.092
2,508,356.072
2,509,357.568
2,510,358.230
2,511,358.576
2,512,358.904
2,513,359.232
2,514,359.428
2,515,359.666
2,516,359.958
2,517,360.452
2,518,360.732
2,519,361.078
2,520,361.284
2,521,361.496
2,522,361.898
2,523,362.322
2,524,362.572
2,525,362.850
2,526,363.144
2,527,363.288
2,528,363.456
2,529,363.612
2,530,363.694
2,531,363.864
2,532,364.058
2,533,364.180
2,534,364.190
2,535,364.224
2,536,364.246
2,537,364.294
2,538,364.358
2,539,364.460
2,540,364.610
2,541,364.720
2,542,364.898
2,543,365.376
2,544,365.700
2,545,365.958
2,546,366.274
2,547,366.416
2,548,366.610
2,549,366.754
2,550,366.946
2,551,367.208
2,552,367.448
2,553,367.724
2,554,367.908
2,555,368.084
2,556,368.176
2,557,368.242
2,558,368.312
2,559,368.372
2,560,368.440
2,561,368.528
2,562,368.590
2,563,368.626
2,564,368.716
2,565,368.764
2,566,368.814
2,567,368.856
2,568,368.912
2,569,368.944
2,570,368.962
2,571,368.976
2,572,368.980
2,573,368.986
2,574,368.998
2,575,369.004
2,576,369.006
2,577,369.008
2,578,369.030
2,579,369.040
2,580,369.048
2,581,369.062
2,582,369.072
2,583,369.086
2,584,369.110
2,585,369.142
2,586,369.154
2,587,369.156
2,588,369.174
2,589,369.204
2,590,369.238
2,591,369.248
2,592,369.264
2,593,369.288
2,594,369.312
2,595,369.348
2,596,369.390
2,597,369.464
2,598,369.564
2,599,369.668
2,600,369.728
2,601,369.780
2,602,369.836
2,603,369.870
2,604,369.924
2,605,369.972
2,606,370.054
2,607,370.114
2,608,370.186
2,609,370.252
2,610,370.300
2,611,370.330
2,612,370.360
2,613,370.384
2,614,370.414
2,615,370.452
2,616,370.504
2,617,370.558
2,618,370.594
2,619,370.616
2,620,370.628
2,621,370.662
2,622,370.682
2,623,370.706
2,624,370.742
2,625,370.782
2,626,370.820
2,627,370.844
2,628,370.862
2,629,370.890
2,630,370.918
2,631,370.958
2,632,370.976
2,633,371.004
2,634,371.032
2,635,371.050
2,636,371.082
2,637,371.112
2,638,371.130
2,639,371.148
2,640,371.162
2,641,371.182
2,642,371.210
2,643,371.242
2,644,371.276
2,645,371.310
2,646,371.360
2,647,371.396
2,648,371.464
2,649,371.520
2,650,371.618
2,651,371.702
2,652,371.832
2,653,371.990
2,654,372.108
2,655,372.244
2,656,372.420
2,657,372.582
2,658,372.758
2,659,372.908
2,660,373.080
2,661,373.240
2,662,373.404
2,663,373.796
2,664,374.202
2,665,374.386
2,666,374.600
2,667,374.800
2,668,375.068
2,669,375.326
2,670,375.496
2,671,375.638
2,672,375.858
2,673,376.084
2,674,376.384
2,675,376.646
2,676,378.404
1,677,379.692
2,678,381.802
2,679,382.724
2,680,383.382
1,681,385.094
2,682,385.664
2,683,385.872
2,684,386.086
2,685,386.286
2,686,386.468
2,687,386.674
2,688,386.790
2,689,388.054
2,690,388.450
2,691,388.826
2,692,389.288
1,693,391.442
1,694,391.684
1,695,391.926
1,696,392.996
1,697,393.160
1,698,393.310
1,699,393.452
1,700,395.412
2,701,395.860
1,702,396.446
1,703,397.400
2,704,400.032
2,705,402.634
1,706,406.188
1,707,407.202
1,708,409.178
1,709,409.782
1,710,410.192
1,711,410.614
1,712,411.014
1,713,411.362
1,714,411.596
1,715,411.862
1,716,413.334
1,717,414.496
2,718,417.290
2,719,418.180
2,720,419.640
1,721,420.552
1,722,420.668
1,723,420.934
1,724,421.252
2,725,421.986
2,726,422.108
2,727,422.366
2,728,422.458
2,729,422.788
2,730,423.176
2,731,425.276
2,732,426.038
1,733,426.666
2,734,427.028
1,735,427.612
1,736,428.612
2,737,429.278
2,738,429.524
2,739,429.810
2,740,430.146
2,741,430.378
2,742,430.516
2,743,430.712
2,744,430.888
2,745,431.062
2,746,431.196
2,747,431.314
2,748,431.444
2,749,431.548
2,750,431.708
2,751,431.846
2,752,432.032
2,753,432.232
2,754,432.522
2,755,432.688
2,756,432.876
2,757,433.228
2,758,433.382
2,759,433.596
2,760,433.914
2,761,434.368
2,762,434.730
2,763,435.296
2,764,435.492
2,765,435.816
2,766,436.278
2,767,437.308
2,768,438.322
2,769,438.650
2,770,438.992
2,771,439.432
2,772,440.160
2,773,440.462
2,774,440.916
2,775,441.788
2,776,441.842
1,777,444.240
1,778,444.986
1,779,445.724
1,780,446.634
1,781,446.852
1,782,447.112
1,783,447.290
1,784,447.536
1,785,447.800
1,786,448.094
1,787,448.412
1,788,448.748
1,789,449.258
1,790,449.792
1,791,450.102
2,792,450.932
1,793,452.476
2,794,452.890
1,795,454.144
1,796,455.786
1,797,455.952
1,798,456.074
2,799,456.888
1,800,458.940
2,801,459.628
1,802,460.848
2,803,462.128
2,804,462.244
2,805,462.510
2,806,462.558
2,807,462.592
2,808,462.760
2,809,462.960
2,810,463.034
2,811,463.134
2,812,463.200
2,813,463.292
2,814,463.374
2,815,463.458
2,816,463.546
2,817,463.852
2,818,464.088
2,819,464.256
2,820,464.428
2,821,464.574
2,822,464.722
