#"Bounced boundary ID","bounce index","total time (ps)"
1,0,500005.746
1,1,500019.082
1,2,500019.714
1,3,500022.012
1,4,500022.968
1,5,500023.462
1,6,500023.922
1,7,500024.424
1,8,500024.952
1,9,500025.474
1,10,500026.030
1,11,500026.850
1,12,500028.046
1,13,500029.968
1,14,500032.388
1,15,500034.098
1,16,500035.808
1,17,500036.264
1,18,500037.090
1,19,500042.710
1,20,500045.896
1,21,500047.294
1,22,500048.800
1,23,500088.022
1,24,500096.744
1,25,500098.328
1,26,500098.344
2,27,500103.376
2,28,500110.176
2,29,500112.846
2,30,500114.194
2,31,500114.764
2,32,500117.282
2,33,500117.420
2,34,500117.556
2,35,500117.620
2,36,500135.702
2,37,500138.224
2,38,500140.516
2,39,500142.514
2,40,500199.544
1,41,500212.582
1,42,500215.360
1,43,500216.414
1,44,500217.310
1,45,500223.444
1,46,500230.192
2,47,500260.392
2,48,500260.578
2,49,500260.716
2,50,500261.154
2,51,500261.660
2,52,500262.038
2,53,500262.930
2,54,500263.880
2,55,500264.372
2,56,500264.726
2,57,500265.026
2,58,500269.842
2,59,500273.034
2,60,500274.304
2,61,500280.442
2,62,500280.646
2,63,500281.034
2,64,500282.760
2,65,500283.640
2,66,500284.770
2,67,500285.726
2,68,500285.946
2,69,500286.498
2,70,500287.348
2,71,500288.024
2,72,500288.742
2,73,500289.176
2,74,500291.264
2,75,500293.086
2,76,500293.844
2,77,500294.426
2,78,500295.258
2,79,500296.846
2,80,500297.842
2,81,500300.246
1,82,500313.328
1,83,500319.538
1,84,500322.418
1,85,500323.146
1,86,500336.878
1,87,500338.926
1,88,500339.234
1,89,500339.564
1,90,500339.844
1,91,500339.960
1,92,500340.054
1,93,500340.110
1,94,500340.200
1,95,500340.264
1,96,500340.328
1,97,500340.388
1,98,500340.442
1,99,500340.470
1,100,500340.498
1,101,500340.528
1,102,500340.556
1,103,500340.608
1,104,500340.660
1,105,500340.714
1,106,500340.764
1,107,500340.780
1,108,500340.796
1,109,500340.806
1,110,500340.818
1,111,500340.828
1,112,500340.838
1,113,500340.846
1,114,500340.854
1,115,500340.864
1,116,500340.874
1,117,500340.884
1,118,500340.892
1,119,500340.900
1,120,500340.908
1,121,500340.920
1,122,500340.932
1,123,500340.950
1,124,500340.956
1,125,500340.962
1,126,500340.980
1,127,500340.998
1,128,500341.012
1,129,500341.026
1,130,500341.044
1,131,500341.068
1,132,500341.080
1,133,500341.116
1,134,500341.138
1,135,500341.162
1,136,500341.180
1,137,500341.196
1,138,500341.214
1,139,500341.234
1,140,500341.258
1,141,500341.282
1,142,500341.306
1,143,500341.356
1,144,500341.372
1,145,500341.388
1,146,500341.404
1,147,500341.420
1,148,500341.436
1,149,500341.454
1,150,500341.472
1,151,500341.490
1,152,500341.510
1,153,500341.528
1,154,500341.546
1,155,500341.566
1,156,500341.586
1,157,500341.604
1,158,500341.624
1,159,500341.644
1,160,500341.706
1,161,500341.740
1,162,500341.792
1,163,500341.876
1,164,500341.958
1,165,500342.052
1,166,500342.148
1,167,500342.230
1,168,500342.298
1,169,500342.384
1,170,500342.424
1,171,500342.476
1,172,500342.522
1,173,500343.026
1,174,500344.378
1,175,500347.192
1,176,500348.178
1,177,500349.260
1,178,500361.216
1,179,500361.336
1,180,500361.444
1,181,500364.382
1,182,500365.374
1,183,500369.064
1,184,500376.054
1,185,500376.292
1,186,500377.204
1,187,500377.506
1,188,500377.796
1,189,500378.154
1,190,500378.518
1,191,500378.908
1,192,500379.256
1,193,500379.588
1,194,500379.860
1,195,500380.142
1,196,500380.584
1,197,500380.876
1,198,500381.010
1,199,500381.278
1,200,500381.310
1,201,500381.342
1,202,500381.374
1,203,500381.406
1,204,500381.438
1,205,500381.470
1,206,500381.502
1,207,500381.534
1,208,500381.562
1,209,500381.590
1,210,500381.622
1,211,500381.654
1,212,500381.984
1,213,500382.330
1,214,500382.606
1,215,500382.980
1,216,500383.288
1,217,500383.560
1,218,500384.096
1,219,500384.324
1,220,500384.658
1,221,500384.916
1,222,500384.922
1,223,500384.928
1,224,500384.934
1,225,500384.942
1,226,500384.948
1,227,500384.954
1,228,500384.960
1,229,500384.966
1,230,500384.972
1,231,500384.978
1,232,500384.984
1,233,500384.990
1,234,500384.996
1,235,500385.000
1,236,500385.004
1,237,500385.010
1,238,500385.014
1,239,500385.020
1,240,500385.026
1,241,500385.032
1,242,500385.040
1,243,500385.046
1,244,500385.050
1,245,500385.056
1,246,500385.064
1,247,500385.070
1,248,500385.076
1,249,500385.082
1,250,500385.088
1,251,500385.094
1,252,500385.100
1,253,500385.106
1,254,500385.110
1,255,500385.114
1,256,500385.118
1,257,500385.124
1,258,500385.132
1,259,500385.142
1,260,500385.150
1,261,500385.160
1,262,500385.170
1,263,500385.176
1,264,500385.182
1,265,500385.192
1,266,500385.204
1,267,500385.302
1,268,500385.384
1,269,500385.590
1,270,500386.422
1,271,500386.820
1,272,500386.826
1,273,500386.832
1,274,500386.838
1,275,500386.842
1,276,500393.296
1,277,500399.056
1,278,500408.804
1,279,500410.338
1,280,500411.812
1,281,500418.844
1,282,500419.992
1,283,500420.174
1,284,500420.350
1,285,500420.484
1,286,500420.722
1,287,500420.840
1,288,500420.974
1,289,500421.216
1,290,500421.276
1,291,500421.396
1,292,500421.506
1,293,500421.592
1,294,500421.676
1,295,500421.862
1,296,500422.112
1,297,500422.324
1,298,500422.474
1,299,500422.600
1,300,500422.720
1,301,500422.852
1,302,500422.952
1,303,500423.720
1,304,500424.508
1,305,500425.062
1,306,500425.422
1,307,500425.706
1,308,500427.072
1,309,500428.076
1,310,500428.700
1,311,500428.862
1,312,500430.824
1,313,500431.692
1,314,500431.832
1,315,500431.992
1,316,500432.090
1,317,500432.520
1,318,500432.988
1,319,500433.646
1,320,500433.972
1,321,500434.640
1,322,500434.648
1,323,500434.656
1,324,500434.662
1,325,500434.668
1,326,500435.304
1,327,500436.584
1,328,500452.732
1,329,500474.992
1,330,500476.332
1,331,500484.706
1,332,500504.758
1,333,500505.924
1,334,500509.288
1,335,500514.954
1,336,500525.470
1,337,500542.012
1,338,500550.314
1,339,500550.590
1,340,500550.852
1,341,500551.576
1,342,500552.444
1,343,500553.428
1,344,500556.852
1,345,500559.046
1,346,500559.140
1,347,500559.234
1,348,500559.324
1,349,500570.592
1,350,500571.190
1,351,500571.842
1,352,500572.220
1,353,500574.322
1,354,500579.004
1,355,500582.666
1,356,500582.778
1,357,500582.998
1,358,500583.980
1,359,500585.944
1,360,500587.010
1,361,500596.260
1,362,500596.618
1,363,500597.656
1,364,500598.794
1,365,500599.836
1,366,500600.912
1,367,500601.562
1,368,500603.350
1,369,500604.334
1,370,500604.800
1,371,500605.080
1,372,500605.800
1,373,500606.734
1,374,500618.224
1,375,500627.358
1,376,500633.600
1,377,500634.172
1,378,500636.922
1,379,500638.296
1,380,500640.190
1,381,500640.930
1,382,500642.076
1,383,500642.392
1,384,500642.700
1,385,500643.550
1,386,500643.910
1,387,500644.376
1,388,500644.614
1,389,500644.684
1,390,500644.748
1,391,500644.808
1,392,500644.876
1,393,500644.900
1,394,500644.908
1,395,500644.918
1,396,500644.924
1,397,500644.930
1,398,500644.938
1,399,500644.944
1,400,500644.952
1,401,500644.958
1,402,500644.970
1,403,500644.986
1,404,500645.002
1,405,500645.016
1,406,500645.044
1,407,500645.060
1,408,500645.070
1,409,500645.088
1,410,500645.108
1,411,500645.122
1,412,500645.142
1,413,500645.168
1,414,500645.192
1,415,500645.214
1,416,500645.292
1,417,500645.372
1,418,500645.462
1,419,500645.548
1,420,500645.688
1,421,500645.858
1,422,500646.318
1,423,500646.434
1,424,500646.686
1,425,500646.904
1,426,500649.444
1,427,500650.606
1,428,500651.934
1,429,500653.444
1,430,500655.166
1,431,500655.326
1,432,500657.640
1,433,500663.692
1,434,500663.738
1,435,500663.784
1,436,500663.832
1,437,500663.906
1,438,500670.010
1,439,500678.790
1,440,500679.794
1,441,500679.872
1,442,500679.948
1,443,500680.170
1,444,500680.410
1,445,500680.916
1,446,500681.328
1,447,500681.988
1,448,500682.634
1,449,500682.968
1,450,500683.346
1,451,500683.722
1,452,500684.104
1,453,500684.482
1,454,500684.904
1,455,500685.248
1,456,500685.526
1,457,500686.230
1,458,500686.560
1,459,500686.872
1,460,500687.186
1,461,500687.670
1,462,500688.068
1,463,500689.060
1,464,500689.754
1,465,500690.150
1,466,500691.076
1,467,500691.440
1,468,500691.454
1,469,500691.464
1,470,500691.736
1,471,500691.822
1,472,500691.924
1,473,500692.040
1,474,500692.150
1,475,500692.292
1,476,500692.448
1,477,500692.614
1,478,500692.840
1,479,500693.012
1,480,500693.620
1,481,500693.966
1,482,500694.408
1,483,500694.778
1,484,500695.266
1,485,500696.322
1,486,500696.692
1,487,500697.126
1,488,500697.476
1,489,500698.014
1,490,500698.436
1,491,500702.702
1,492,500703.330
1,493,500703.812
1,494,500703.996
1,495,500704.168
1,496,500704.930
1,497,500705.500
1,498,500706.490
1,499,500707.592
1,500,500707.984
1,501,500709.172
1,502,500711.940
1,503,500712.820
1,504,500713.844
1,505,500714.360
1,506,500714.730
1,507,500714.744
1,508,500714.758
1,509,500715.232
1,510,500715.502
1,511,500715.918
1,512,500716.396
1,513,500716.970
1,514,500717.674
1,515,500718.316
1,516,500718.980
1,517,500724.040
1,518,500727.496
1,519,500727.912
1,520,500727.932
1,521,500727.952
1,522,500728.130
1,523,500733.576
1,524,500737.434
1,525,500738.076
1,526,500738.272
1,527,500738.290
1,528,500738.308
1,529,500739.186
1,530,500748.366
1,531,500749.042
1,532,500752.812
1,533,500753.460
1,534,500753.838
1,535,500754.968
1,536,500757.772
1,537,500758.322
1,538,500763.116
1,539,500771.896
1,540,500781.002
1,541,500781.704
1,542,500782.318
1,543,500783.142
