#"Bounced boundary ID","bounce index","total time (ps)"
2,0,21.172
1,1,36.322
1,2,39.532
1,3,40.064
1,4,41.472
1,5,47.648
1,6,48.092
1,7,48.918
1,8,51.008
1,9,52.832
1,10,63.332
1,11,64.962
1,12,65.060
1,13,65.238
1,14,65.404
1,15,66.092
2,16,69.592
2,17,75.050
2,18,80.006
2,19,81.830
2,20,90.780
2,21,93.048
2,22,93.154
2,23,93.346
2,24,93.556
2,25,93.610
2,26,93.670
2,27,93.798
2,28,93.862
2,29,93.984
2,30,94.158
2,31,94.296
2,32,94.466
2,33,94.686
2,34,94.928
2,35,95.150
2,36,95.328
2,37,95.478
2,38,95.624
2,39,95.718
2,40,95.828
2,41,95.908
2,42,95.998
2,43,96.132
2,44,96.288
2,45,96.418
2,46,96.492
2,47,96.600
2,48,96.718
2,49,96.926
2,50,97.550
2,51,97.622
2,52,97.698
2,53,98.016
2,54,98.398
2,55,98.816
2,56,99.134
2,57,99.502
2,58,99.940
2,59,101.166
2,60,102.718
2,61,104.146
2,62,104.734
2,63,104.926
2,64,105.086
2,65,105.714
2,66,106.032
2,67,107.964
2,68,108.308
2,69,108.640
2,70,108.954
2,71,109.216
2,72,109.610
2,73,109.954
2,74,110.358
2,75,110.512
2,76,111.164
2,77,111.396
2,78,111.564
2,79,111.690
2,80,111.858
2,81,111.980
2,82,112.094
2,83,112.172
2,84,112.252
2,85,112.334
2,86,112.416
2,87,112.526
2,88,112.668
2,89,112.808
2,90,112.820
2,91,112.834
2,92,112.996
2,93,118.032
2,94,118.430
2,95,118.682
2,96,118.912
2,97,119.956
2,98,124.994
2,99,125.626
1,100,144.704
1,101,145.008
1,102,150.322
1,103,158.832
1,104,164.102
1,105,165.112
1,106,165.878
2,107,205.656
2,108,217.268
2,109,218.112
2,110,218.670
2,111,218.678
2,112,218.686
2,113,220.826
2,114,221.672
2,115,240.982
2,116,242.504
2,117,248.234
2,118,249.974
2,119,253.368
2,120,254.870
2,121,255.442
1,122,264.058
1,123,265.760
1,124,266.282
1,125,267.804
1,126,268.332
1,127,270.692
1,128,271.730
1,129,272.218
1,130,272.728
1,131,272.930
1,132,273.244
1,133,273.772
1,134,274.422
1,135,274.930
1,136,275.404
1,137,275.812
1,138,276.204
1,139,276.666
1,140,277.218
1,141,277.518
1,142,277.588
1,143,277.658
1,144,277.804
1,145,277.990
1,146,278.376
1,147,278.956
1,148,279.770
1,149,280.270
1,150,280.748
1,151,281.432
1,152,281.686
1,153,281.950
1,154,282.194
1,155,282.752
1,156,283.418
1,157,284.176
1,158,284.426
1,159,284.906
1,160,285.360
1,161,285.856
1,162,286.316
1,163,286.856
1,164,290.526
1,165,293.528
1,166,293.810
1,167,294.508
1,168,296.746
2,169,321.732
2,170,322.902
2,171,324.044
2,172,324.586
2,173,325.442
2,174,326.466
2,175,327.326
2,176,328.664
2,177,329.404
2,178,337.356
1,179,347.196
1,180,353.300
1,181,354.034
1,182,354.638
1,183,355.414
1,184,355.584
1,185,355.762
1,186,356.416
1,187,365.360
2,188,370.370
2,189,382.620
2,190,383.504
2,191,383.794
2,192,384.032
2,193,384.214
2,194,384.482
2,195,384.940
2,196,385.310
2,197,385.626
2,198,385.874
2,199,391.688
2,200,394.686
2,201,400.730
2,202,401.532
2,203,404.152
2,204,409.878
2,205,411.468
2,206,428.514
2,207,429.888
2,208,442.518
1,209,445.132
2,210,447.798
2,211,456.692
2,212,465.790
2,213,466.162
2,214,467.186
2,215,469.160
2,216,473.930
2,217,474.904
2,218,474.934
2,219,474.968
2,220,475.072
2,221,475.324
2,222,476.042
2,223,477.420
2,224,478.320
2,225,479.342
2,226,483.386
2,227,485.202
2,228,488.000
2,229,489.026
2,230,493.944
2,231,498.562
2,232,500.950
1,233,515.764
1,234,516.768
2,235,531.196
2,236,533.334
2,237,533.978
2,238,539.864
2,239,541.648
2,240,543.724
2,241,549.246
2,242,552.524
1,243,565.778
1,244,567.036
1,245,568.688
2,246,578.884
2,247,579.206
2,248,579.482
2,249,581.126
2,250,581.990
1,251,612.236
1,252,613.944
2,253,652.178
2,254,652.518
2,255,654.062
2,256,654.474
2,257,654.784
2,258,655.250
2,259,656.306
2,260,671.284
2,261,671.356
2,262,676.920
2,263,677.574
2,264,679.118
2,265,679.810
2,266,680.234
2,267,682.298
2,268,689.718
2,269,690.770
2,270,691.420
2,271,691.906
2,272,693.328
2,273,695.724
2,274,696.086
2,275,696.416
2,276,696.756
2,277,697.040
2,278,697.710
2,279,698.574
2,280,698.972
2,281,699.608
2,282,700.622
2,283,700.734
2,284,701.162
2,285,701.558
2,286,701.872
2,287,702.226
2,288,702.234
2,289,702.244
2,290,702.314
2,291,702.490
2,292,702.608
2,293,702.726
2,294,702.742
2,295,702.758
2,296,702.810
2,297,702.880
2,298,702.952
2,299,703.224
2,300,703.564
2,301,704.488
2,302,705.498
2,303,705.762
2,304,706.540
2,305,707.142
2,306,707.904
2,307,708.474
2,308,709.592
2,309,710.538
2,310,711.294
2,311,711.746
2,312,712.330
2,313,712.600
2,314,712.794
2,315,713.006
2,316,713.182
2,317,714.830
2,318,715.898
2,319,717.006
2,320,718.466
2,321,720.760
2,322,721.514
2,323,724.852
1,324,748.954
1,325,751.730
1,326,757.418
1,327,758.370
1,328,759.772
1,329,760.478
1,330,760.518
1,331,760.564
1,332,760.610
1,333,761.514
1,334,767.854
2,335,780.230
2,336,780.884
2,337,781.390
2,338,795.084
2,339,797.300
2,340,797.498
2,341,797.882
2,342,798.016
2,343,800.740
2,344,806.702
2,345,813.350
2,346,823.862
2,347,825.220
2,348,828.850
2,349,829.358
2,350,831.146
2,351,831.366
2,352,831.526
2,353,831.732
2,354,832.410
2,355,833.138
2,356,835.246
2,357,836.642
2,358,837.348
2,359,837.916
2,360,838.608
2,361,839.056
2,362,839.348
2,363,839.808
2,364,840.034
2,365,840.122
2,366,840.214
2,367,840.638
2,368,843.898
2,369,847.164
2,370,848.388
2,371,851.194
2,372,853.616
2,373,853.636
2,374,853.658
2,375,853.760
2,376,853.864
2,377,863.414
1,378,866.798
1,379,868.262
2,380,884.104
2,381,886.216
2,382,887.566
2,383,890.494
2,384,895.236
2,385,899.252
2,386,899.620
2,387,901.194
2,388,907.856
2,389,912.970
2,390,913.550
2,391,914.152
2,392,915.722
2,393,916.636
2,394,916.776
2,395,916.934
2,396,917.128
2,397,917.162
2,398,917.268
2,399,917.522
2,400,917.884
2,401,918.268
2,402,918.412
2,403,918.588
2,404,918.632
2,405,918.684
2,406,918.736
2,407,918.830
2,408,919.074
2,409,919.316
2,410,919.584
2,411,920.054
2,412,923.880
2,413,925.398
2,414,925.792
2,415,927.918
2,416,929.810
2,417,930.570
2,418,931.602
2,419,932.590
2,420,934.172
2,421,935.434
2,422,935.610
2,423,935.810
2,424,936.590
2,425,937.888
2,426,937.942
2,427,938.144
2,428,944.614
2,429,947.098
2,430,948.674
2,431,950.002
2,432,950.410
2,433,950.782
2,434,951.040
2,435,951.180
2,436,951.296
2,437,951.686
2,438,951.908
2,439,952.636
2,440,953.072
2,441,956.094
2,442,956.834
2,443,957.802
2,444,958.368
2,445,958.984
2,446,959.334
2,447,960.582
2,448,963.470
2,449,967.428
1,450,982.220
1,451,982.502
1,452,982.886
1,453,983.218
1,454,983.252
1,455,983.288
1,456,983.540
1,457,983.818
1,458,984.058
1,459,984.334
1,460,984.826
1,461,985.080
1,462,986.290
1,463,986.602
1,464,988.232
1,465,988.844
1,466,989.324
1,467,992.448
1,468,993.970
2,469,1015.706
1,470,1019.560
1,471,1019.922
1,472,1020.384
1,473,1020.662
1,474,1023.242
1,475,1023.422
1,476,1023.960
1,477,1027.190
1,478,1066.592
1,479,1066.624
1,480,1066.654
1,481,1066.680
1,482,1066.704
1,483,1066.726
1,484,1066.750
1,485,1066.770
1,486,1066.792
1,487,1066.810
1,488,1067.250
1,489,1067.694
1,490,1096.690
2,491,1103.126
2,492,1104.458
2,493,1105.148
2,494,1118.636
2,495,1123.942
2,496,1130.936
2,497,1131.696
2,498,1132.610
2,499,1133.476
2,500,1134.314
2,501,1135.260
2,502,1135.806
2,503,1136.544
2,504,1136.702
2,505,1136.864
2,506,1138.774
1,507,1161.432
1,508,1161.746
1,509,1162.058
1,510,1162.314
1,511,1162.532
1,512,1162.742
1,513,1162.900
1,514,1163.072
1,515,1163.238
1,516,1163.494
1,517,1163.748
1,518,1164.040
1,519,1164.142
1,520,1164.248
1,521,1164.340
1,522,1164.400
1,523,1164.490
1,524,1164.570
1,525,1164.622
1,526,1164.700
1,527,1164.714
1,528,1164.730
1,529,1164.806
1,530,1164.876
1,531,1164.890
1,532,1164.906
1,533,1164.958
1,534,1165.168
1,535,1165.388
1,536,1165.666
1,537,1165.988
1,538,1166.204
1,539,1166.920
1,540,1167.530
1,541,1167.728
1,542,1167.940
1,543,1168.100
1,544,1168.318
1,545,1168.502
1,546,1168.686
1,547,1168.862
1,548,1168.988
1,549,1169.122
1,550,1169.240
1,551,1169.356
1,552,1169.412
1,553,1169.518
1,554,1169.626
1,555,1169.770
1,556,1169.896
1,557,1170.074
1,558,1170.304
1,559,1170.554
1,560,1170.798
1,561,1171.066
1,562,1171.392
1,563,1171.736
1,564,1171.924
1,565,1172.218
1,566,1172.552
1,567,1172.846
1,568,1173.184
1,569,1173.586
1,570,1173.964
1,571,1174.466
1,572,1175.202
1,573,1175.886
1,574,1176.414
1,575,1176.692
1,576,1177.082
1,577,1177.400
1,578,1177.882
1,579,1178.426
1,580,1178.792
1,581,1179.206
1,582,1179.468
1,583,1179.610
1,584,1179.714
1,585,1179.954
1,586,1180.158
1,587,1180.396
1,588,1180.750
1,589,1180.948
1,590,1181.152
1,591,1181.334
1,592,1181.790
1,593,1181.914
1,594,1182.042
1,595,1182.192
1,596,1182.334
1,597,1182.908
1,598,1183.210
1,599,1183.754
1,600,1184.154
1,601,1184.412
1,602,1184.806
1,603,1184.820
1,604,1184.836
1,605,1184.852
1,606,1184.866
1,607,1184.878
1,608,1184.892
1,609,1184.906
1,610,1184.918
1,611,1184.930
1,612,1184.944
1,613,1184.960
1,614,1184.974
1,615,1184.990
1,616,1185.006
1,617,1185.020
1,618,1185.034
1,619,1185.048
1,620,1185.062
1,621,1185.076
1,622,1185.090
1,623,1185.104
1,624,1185.118
1,625,1185.134
1,626,1185.148
1,627,1185.858
1,628,1186.104
1,629,1188.698
1,630,1191.216
1,631,1191.306
1,632,1191.400
1,633,1195.098
1,634,1195.278
1,635,1195.456
1,636,1195.604
1,637,1195.710
1,638,1195.968
1,639,1196.334
1,640,1196.700
1,641,1197.086
1,642,1197.414
1,643,1197.722
1,644,1198.538
1,645,1199.630
1,646,1199.740
1,647,1199.912
1,648,1200.016
1,649,1200.400
1,650,1201.640
1,651,1203.708
1,652,1204.080
1,653,1204.568
1,654,1204.998
1,655,1205.298
1,656,1205.626
1,657,1205.970
1,658,1206.268
1,659,1217.482
1,660,1222.028
1,661,1226.550
2,662,1237.558
2,663,1247.874
2,664,1247.880
2,665,1247.886
2,666,1247.892
2,667,1247.898
2,668,1247.906
2,669,1247.916
2,670,1247.924
2,671,1247.932
2,672,1247.942
2,673,1247.950
2,674,1247.956
2,675,1247.960
2,676,1247.962
2,677,1247.964
2,678,1247.966
2,679,1247.968
2,680,1247.970
2,681,1247.972
2,682,1247.976
2,683,1247.978
2,684,1248.852
2,685,1253.112
